Time1	Space1	Time2	Space2
1669	4.54297	1419	1.39178
1536	3.06422	1353	0.33127
1849	7.51996	1597	4.06416
1510	2.45075	1273	-0.99487
1428	1.47137	1942	9.01113
1313	-0.39732	1382	0.56721
1295	-0.69301	2817	20.4719
1497	2.26503	2715	20.6491
1416	1.31524	1538	3.0752
1289	-0.75907	1419	1.39178
1421	1.34413	1353	0.33127
1302	-0.59827	1296	-0.64093
1765	5.81184	1412	1.17908
1535	3.05404	1343	0.05542
1490	2.4401	1281	-0.8689
1661	4.75809	2998	22.98859
1431	1.37693		
1361	0.24937		
1436	1.59728		
1304	-0.5428		
1715	5.8061		
1485	2.3645		
1715	5.77695		
1506	2.65112		
1705	5.31804		
1514	2.4599		
1307	-0.50208		
1423	1.40458		
1296	-0.66556		
1498	2.56455		
1356	0.23979		
1418	1.15636		
1390	0.70873		
1531	2.75559		
1356	0.26388		
1527	2.68936		
1510	2.72427		
1516	2.8176		
1426	1.46462		
1289	-0.76529		
1529	2.90455		
1511	2.73047		
1451	1.84733		
1296	-0.65129		
1631	4.31908		
1485	2.36876		
1445	1.62533		
1355	0.1846		
1698	5.50661		
1536	3.08505		
1500	2.58678		
1568	3.54001		
1348	0.13679		
1830	7.49775		
1524	2.92433		
1657	4.40575		
1491	2.46965		
1503	2.605		
1518	2.56197		
1531	2.99571		
1506	2.4074		
1523	2.89395		
1655	4.65966		
1440	1.69936		
1280	-0.8901		
1500	2.54157		
1504	2.63551		
1450	1.71517		
1365	0.36494		
1526	2.94936		
1443	1.73457		
1583	3.72133		
1298	-0.60886		
1537	3.03391		
1490	2.18561		
1451	1.78668		
1307	-0.53631		
1438	1.68479		
1290	-0.71114		
1446	1.661		
1369	0.43853		
1640	4.4383		
